"x","y","ASH","BEECH","BIRCH","ELM","HEMLOCK","MAPLE","OAK","OTHER.CONIFER","OTHER.HARDWOOD","PINE","SPRUCE","TAMARACK"
"1766",5000,1222000,0,0,0,0,0,0,3,0,1,0,0,0
"1767",5000,1230000,0,0,0,0,0,0,1,0,0,0,0,0
"1768",5000,1238000,0,0,0,0,0,0,0,0,0,0,0,0
"1769",5000,1246000,0,0,0,0,0,0,0,0,0,0,0,0
"1770",5000,1254000,0,0,0,0,0,0,0,0,0,0,0,0
"1771",5000,1262000,0,0,0,0,0,0,0,0,0,0,0,0
"1772",5000,1270000,4,0,0,5,0,0,3,0,1,0,0,0
"1773",5000,1278000,0,0,0,0,0,0,0,0,0,0,0,0
"1774",5000,1286000,0,0,0,0,0,0,0,0,0,0,0,0
"1775",5000,1294000,0,0,0,0,0,0,0,0,0,0,0,0
"1776",5000,1302000,0,0,0,0,0,0,0,0,0,0,0,0
"1777",5000,1310000,0,0,0,0,0,0,0,0,0,0,0,0
"1778",5000,1318000,0,0,0,0,0,0,0,0,0,0,0,0
"1779",5000,1326000,0,0,0,8,0,0,11,0,4,0,0,0
"1780",5000,1334000,0,0,0,0,0,0,0,0,0,0,0,0
"1781",5000,1342000,0,0,0,0,0,0,0,0,0,0,0,0
"1782",5000,1350000,0,0,0,0,0,0,0,0,0,0,0,0
"1783",5000,1358000,0,0,0,0,0,0,0,0,0,0,0,0
"1784",5000,1366000,0,0,0,0,0,0,0,0,0,0,0,0
